,date,type
547,2015-08-09,holiday
548,2015-08-15,holiday
549,2015-08-16,holiday
550,2015-08-22,holiday
551,2015-08-23,holiday
552,2015-08-29,holiday
553,2015-08-30,holiday
554,2015-09-05,holiday
555,2015-09-06,holiday
556,2015-09-12,holiday
557,2015-09-13,holiday
558,2015-09-19,holiday
559,2015-09-20,holiday
560,2015-09-26,holiday
561,2015-09-27,holiday
562,2015-10-03,holiday
563,2015-10-04,holiday
564,2015-10-10,holiday
565,2015-10-11,holiday
566,2015-10-17,holiday
567,2015-10-18,holiday
568,2015-10-24,holiday
569,2015-10-25,holiday
570,2015-10-31,holiday
571,2015-11-01,holiday
572,2015-11-04,holiday
573,2015-11-07,holiday
574,2015-11-08,holiday
575,2015-11-14,holiday
576,2015-11-15,holiday
577,2015-11-21,holiday
578,2015-11-22,holiday
579,2015-11-28,holiday
580,2015-11-29,holiday
581,2015-12-05,holiday
582,2015-12-06,holiday
583,2015-12-12,holiday
584,2015-12-13,holiday
585,2015-12-19,holiday
586,2015-12-20,holiday
587,2015-12-26,holiday
588,2015-12-27,holiday
589,2016-01-01,holiday
590,2016-01-02,holiday
591,2016-01-03,holiday
592,2016-01-04,holiday
593,2016-01-05,holiday
594,2016-01-06,holiday
595,2016-01-07,holiday
596,2016-01-08,holiday
597,2016-01-09,holiday
598,2016-01-10,holiday
599,2016-01-16,holiday
600,2016-01-17,holiday
601,2016-01-23,holiday
602,2016-01-24,holiday
603,2016-01-30,holiday
604,2016-01-31,holiday
605,2016-02-06,holiday
606,2016-02-07,holiday
607,2016-02-13,holiday
608,2016-02-14,holiday
609,2016-02-21,holiday
610,2016-02-22,holiday
611,2016-02-23,holiday
612,2016-02-27,holiday
613,2016-02-28,holiday
614,2016-03-05,holiday
615,2016-03-06,holiday
616,2016-03-07,holiday
617,2016-03-08,holiday
618,2016-03-12,holiday
619,2016-03-13,holiday
620,2016-03-19,holiday
621,2016-03-20,holiday
622,2016-03-26,holiday
623,2016-03-27,holiday
624,2016-04-02,holiday
625,2016-04-03,holiday
626,2016-04-09,holiday
627,2016-04-10,holiday
628,2016-04-16,holiday
629,2016-04-17,holiday
630,2016-04-23,holiday
631,2016-04-24,holiday
632,2016-04-30,holiday
633,2016-05-01,holiday
634,2016-05-02,holiday
635,2016-05-03,holiday
636,2016-05-07,holiday
637,2016-05-08,holiday
638,2016-05-09,holiday
639,2016-05-14,holiday
640,2016-05-15,holiday
641,2016-05-21,holiday
642,2016-05-22,holiday
643,2016-05-28,holiday
644,2016-05-29,holiday
645,2016-06-04,holiday
646,2016-06-05,holiday
647,2016-06-11,holiday
648,2016-06-12,holiday
649,2016-06-13,holiday
650,2016-06-18,holiday
651,2016-06-19,holiday
652,2016-06-25,holiday
653,2016-06-26,holiday
654,2016-07-02,holiday
655,2016-07-03,holiday
656,2016-07-09,holiday
657,2016-07-10,holiday
658,2016-07-16,holiday
659,2016-07-17,holiday
660,2016-07-23,holiday
661,2016-07-24,holiday
662,2016-07-30,holiday
663,2016-07-31,holiday
664,2016-08-06,holiday
665,2016-08-07,holiday
666,2016-08-13,holiday
667,2016-08-14,holiday
668,2016-08-20,holiday
669,2016-08-21,holiday
670,2016-08-27,holiday
671,2016-08-28,holiday
672,2016-09-03,holiday
673,2016-09-04,holiday
674,2016-09-10,holiday
675,2016-09-11,holiday
676,2016-09-17,holiday
677,2016-09-18,holiday
678,2016-09-24,holiday
679,2016-09-25,holiday
680,2016-10-01,holiday
681,2016-10-02,holiday
682,2016-10-08,holiday
683,2016-10-09,holiday
684,2016-10-15,holiday
685,2016-10-16,holiday
686,2016-10-22,holiday
687,2016-10-23,holiday
688,2016-10-29,holiday
689,2016-10-30,holiday
690,2016-11-04,holiday
691,2016-11-05,holiday
692,2016-11-06,holiday
693,2016-11-12,holiday
694,2016-11-13,holiday
695,2016-11-19,holiday
696,2016-11-20,holiday
697,2016-11-26,holiday
698,2016-11-27,holiday
699,2016-12-03,holiday
700,2016-12-04,holiday
701,2016-12-10,holiday
702,2016-12-11,holiday
703,2016-12-17,holiday
704,2016-12-18,holiday
705,2016-12-24,holiday
706,2016-12-25,holiday
707,2016-12-31,holiday
708,2017-01-01,holiday
709,2017-01-02,holiday
710,2017-01-03,holiday
711,2017-01-04,holiday
712,2017-01-05,holiday
713,2017-01-06,holiday
714,2017-01-07,holiday
715,2017-01-08,holiday
716,2017-01-14,holiday
717,2017-01-15,holiday
718,2017-01-21,holiday
719,2017-01-22,holiday
720,2017-01-28,holiday
721,2017-01-29,holiday
722,2017-02-04,holiday
723,2017-02-05,holiday
724,2017-02-11,holiday
725,2017-02-12,holiday
726,2017-02-18,holiday
727,2017-02-19,holiday
728,2017-02-23,holiday
729,2017-02-24,holiday
730,2017-02-25,holiday
731,2017-02-26,holiday
732,2017-03-04,holiday
733,2017-03-05,holiday
734,2017-03-08,holiday
735,2017-03-11,holiday
736,2017-03-12,holiday
737,2017-03-18,holiday
738,2017-03-19,holiday
739,2017-03-25,holiday
740,2017-03-26,holiday
741,2017-04-01,holiday
742,2017-04-02,holiday
743,2017-04-08,holiday
744,2017-04-09,holiday
745,2017-04-15,holiday
746,2017-04-16,holiday
747,2017-04-22,holiday
748,2017-04-23,holiday
749,2017-04-29,holiday
750,2017-04-30,holiday
751,2017-05-01,holiday
752,2017-05-06,holiday
753,2017-05-07,holiday
754,2017-05-08,holiday
755,2017-05-09,holiday
756,2017-05-13,holiday
757,2017-05-14,holiday
758,2017-05-20,holiday
759,2017-05-21,holiday
760,2017-05-27,holiday
761,2017-05-28,holiday
762,2017-06-03,holiday
763,2017-06-04,holiday
764,2017-06-10,holiday
765,2017-06-11,holiday
766,2017-06-12,holiday
767,2017-06-17,holiday
768,2017-06-18,holiday
769,2017-06-24,holiday
770,2017-06-25,holiday
771,2017-07-01,holiday
772,2017-07-02,holiday
773,2017-07-08,holiday
774,2017-07-09,holiday
775,2017-07-15,holiday
776,2017-07-16,holiday
777,2017-07-22,holiday
778,2017-07-23,holiday
779,2017-07-29,holiday
780,2017-07-30,holiday
781,2017-08-05,holiday
782,2017-08-06,holiday
783,2017-08-12,holiday
784,2017-08-13,holiday
785,2017-08-19,holiday
786,2017-08-20,holiday
787,2017-08-26,holiday
788,2017-08-27,holiday
789,2017-09-02,holiday
790,2017-09-03,holiday
791,2017-09-09,holiday
792,2017-09-10,holiday
793,2017-09-16,holiday
794,2017-09-17,holiday
795,2017-09-23,holiday
796,2017-09-24,holiday
797,2017-09-30,holiday
798,2017-10-01,holiday
799,2017-10-07,holiday
800,2017-10-08,holiday
801,2017-10-14,holiday
802,2017-10-15,holiday
803,2017-10-21,holiday
804,2017-10-22,holiday
805,2017-10-28,holiday
806,2017-10-29,holiday
807,2017-11-04,holiday
808,2017-11-05,holiday
